ident,type,name,municipality,iata_code
CCS3,small_airport,St. Stephen Airport,St. Stephen,
CCS4,small_airport,Chipman Airport,Chipman,
CCS5,small_airport,Havelock Airport,Havelock,
CCS6,small_airport,Courtenay (Smit Field) Airport,Courtenay,
CCT2,small_airport,Cookstown Airport,Cookstown,
CCV4,small_airport,Bell Island Airport,Bell Island,
CCW3,small_airport,Waterville / Kings County Municipal Airport,Waterville,
CCW4,small_airport,Stanley Airport,Stanley,
CCX3,small_airport,Brockway Airport,Brockway,
CCY3,small_airport,Sussex Airport,Sussex,
CCY4,small_airport,East Gore Eco Airpark,East Gore,
CCZ2,small_airport,Rigolet Airport,Rigolet,YRG
CCZ3,small_airport,Clarenville Airport,Clarenville,
CCZ4,small_airport,Margaree Airport,Margaree,
CCZ5,small_airport,Thorburn Airport,Thorburn,
CD-0001,small_airport,Wageni Airport,Beni,
CD-0002,small_airport,Kashobwe Airport,Kashobwe,
CD-0003,small_airport,Nagero,Nagero,
CD-0004,small_airport,Djolu Airport,Djolu,
CD-0005,small_airport,Pimu Airport,Pimu,
CD-0006,small_airport,Bondo Airport,Bondo,
CD-0007,small_airport,Yakoma Airport,,
CD-0008,small_airport,Dungu Airport,Dungu,
CD-0009,small_airport,Zaniwe Airport,Zaniwe,
CD-0010,small_airport,Mambasa Airport,Mambasa,
CD-0011,small_airport,Mongbwalu Airport,Mongbwalu,
CD-0012,small_airport,Mahagi Airport,Mahagi,
CD-0013,small_airport,Poko Airport,Poko,
CD-0014,small_airport,Monga Airstrip,Monga,
CD-0015,small_airport,Epulu Airport,Epulu,
CD-0016,small_airport,Nia-Nia Airport,Nia-Nia,
CD-0017,small_airport,Aru Airport,Aru,
CD-0018,small_airport,Ishango Airport,Ishango,
CD-0019,small_airport,Tshimpumpu Airport,Tshimpumpu,
CD-0020,small_airport,Bokoro Airport,Bokoro,
CD-0021,small_airport,Boeli Airstrip,Boeli,
CD-0022,small_airport,Dakwa Airport,Dakwa,
CD-0023,small_airport,Nebobongo Airport,Nebobongo,
CD01,small_airport,Lowe Airstrip,Cotopaxi,
CD02,small_airport,Skyote Airport,Steamboat Springs,
CD03,small_airport,Tinnes Airport,Lamar,
CD05,small_airport,Jackson Airfield,Yuma,
CD09,small_airport,Yoder Airstrip,Bennett,
CD10,small_airport,Chapman Field,South Fork,
CD13,small_airport,Morris Airport,Deer Trail,
CD14,small_airport,J & S Airport,Bennett,
CD15,small_airport,Schantz Airstrip,Simla,
CD17,small_airport,Bijou Basin Airport,Byers,
CD20,small_airport,Sprague Airport,Loveland,
CD23,small_airport,Aero Bear Field,Calhan,
CD28,small_airport,Tall Timber Airport,Indian Hills,
CD32,small_airport,Castle Lakes Airport,Lake City,
CD39,small_airport,Pond's Field,Berthoud,
CD45,small_airport,Flyin' B Ranch Airport,Elizabeth,
CD48,small_airport,Cuchara Ranch Airport,Walsenburg,
CD69,small_airport,Morning Shadows Ranch Airport,South Fork,
CD82,small_airport,Val Air Airport,Durango,
CD97,small_airport,Montemadeira Ii Airport,Hotchkiss,
CD99,small_airport,Lucky L Ranch Airport,Steamboat Springs,
CDA4,small_airport,Pokemouche Airport,Pokemouche,
CDA5,small_airport,St. Andrews Codroy Valley Airport,St. Andrews,
CDA6,small_airport,Bristol Airport,Bristol,
CDC3,small_airport,Dawson Creek (Flying L Ranch) Airport,Dawson Creek,
CDC4,small_airport,St-Quentin Airport,St-Quentin,
CDC5,small_airport,Dougall Campbell Field,Oie Lake,
CDD3,small_airport,Ste-Agn̬s-de-Dundee Airport,Ste-Agn̬s-de-Dundee,
CDF2,small_airport,Teeswater (Dent Field),,
CDF3,small_airport,Englehart (Dave's Field),Englehart,
CDF5,small_airport,Elora Airport,Elora,
CDF6,small_airport,Arthur (Damascus Field),,
CDG3,small_airport,Dungannon,,
CDH1,small_airport,Deerhurst Resort Airport,Huntsville,
CDH3,small_airport,Finlay Air Park,Finlay,
CDH6,small_airport,Delhi Airport,Delhi,
CDJ4,small_airport,Clearwater Airport,Clearwater,
CDJ5,small_airport,Strathmore (D.J. Murray) Airport,Strathmore,
CDK,small_airport,George T Lewis Airport,Cedar Key,
CDK2,small_airport,Diavik Airport,Diavik,DVK
CDL7,small_airport,Doris Lake,Hope Bay,JOJ
CDL8,small_airport,Centredale Airport,Centredale,
CDO2,small_airport,Ostergard's Airport,Drumheller,
CDT5,small_airport,Bouctouche Airport,Buctouche,
CDT7,small_airport,Dutton Airport,Dutton,
CDU6,small_airport,Doaktown Airport,Doaktown,
CDV2,small_airport,Downs Gulch Airport,Downs Gulch,
CDW2,small_airport,Baddeck (Crown Jewel) Airport,Baddeck,
CDY3,small_airport,Fogo Airport,Fogo,
CDY6,small_airport,Bridgewater / Dayspring Airpark,Bridgewater,
CEA3,small_airport,Olds-Didsbury Airport,Olds-Didsbury,
CEA5,small_airport,Hardisty Airport,Hardisty,
CEA6,small_airport,Cardston Airport,Cardston,
CEB4,small_airport,Rockyford/Early Bird Air Airport,Rockyford,
CEB5,small_airport,Fairview Airport,Fairview,ZFW
CEB8,small_airport,Essex / Billing Airstrip,,
CEC3,small_airport,Fox Lake Airport,Fox Lake,
CEC4,small_airport,Hinton/Jasper-Hinton Airport,Hinton,YJP
CED3,small_airport,Oyen Municipal Airport,Oyen,
CED4,small_airport,Fox Creek Airport,Fox Creek,
CED5,small_airport,Taber Airport,Taber,
CED6,small_airport,Highwood Airport,De Winton,
CED8,small_airport,Thunderbay / Eldorado Field,Eldorado,
CEE4,small_airport,Hinton / Entrance Airport,Hinton,
CEE5,small_airport,Wabasca Airport,Wabasca,
CEE6,small_airport,Edmonton / Twin Island Airpark,Edmonton,
