ident,type,name,municipality,iata_code
00AA,small_airport,Aero B Ranch Airport,Leoti,
00AK,small_airport,Lowell Field,Anchor Point,
00AL,small_airport,Epps Airpark,Harvest,
00AS,small_airport,Fulton Airport,Alex,
00AZ,small_airport,Cordes Airport,Cordes,
00CA,small_airport,Goldstone /Gts/ Airport,Barstow,
00CL,small_airport,Williams Ag Airport,Biggs,
00FA,small_airport,Grass Patch Airport,Bushnell,
00FL,small_airport,River Oak Airport,Okeechobee,
00GA,small_airport,Lt World Airport,Lithonia,
00ID,small_airport,Delta Shores Airport,Clark Fork,
00IG,small_airport,Goltl Airport,McDonald,
00IL,small_airport,Hammer Airport,Polo,
00IS,small_airport,Hayenga's Cant Find Farms Airport,Kings,
00KS,small_airport,Hayden Farm Airport,Gardner,
00KY,small_airport,Robbins Roost Airport,Stanford,
00LS,small_airport,Lejeune Airport,Esterwood,
00MD,small_airport,Slater Field,Federalsburg,
00MN,small_airport,Battle Lake Municipal Airport,Battle Lake,
00MO,small_airport,Cooper Flying Service Airport,Alba,
00N,small_airport,Bucks Airport,Bridgeton,
00NC,small_airport,North Raleigh Airport,Louisburg,
00NY,small_airport,Weiss Airfield,West Bloomfield,
00OK,small_airport,Gull Bay Landing Airport,Sandsprings,
00PN,small_airport,Ferrell Field,Mercer,
00S,small_airport,Mc Kenzie Bridge State Airport,Mc Kenzie Bridge,
00SC,small_airport,Flying O Airport,Sumter,
00SD,small_airport,Homan Field,Gary,
00TN,small_airport,Ragsdale Road Airport,Manchester,
00TS,small_airport,Alpine Range Airport,Everman,
00VA,small_airport,Vaughan Airport,Alton,
00VI,small_airport,Groundhog Mountain Airport,Hillsville,
00W,small_airport,Lower Granite State Airport,Colfax,
00WA,small_airport,Howell Airport,Longbranch,
00WI,small_airport,Northern Lite Airport,Waupaca,
00WN,small_airport,Hawks Run Airport,Asotin,
00WV,small_airport,Lazy J. Aerodrome,Beverly,
00XS,small_airport,L P Askew Farms Airport,O'Donnell,
01A,small_airport,Purkeypile Airport,Purkeypile,
01AL,small_airport,Ware Island Airport,Clanton,
01CL,small_airport,Swansboro Country Airport,Placerville,
01FA,small_airport,Rybolt Ranch Airport,Orlando,
01FL,small_airport,Cedar Knoll Flying Ranch Airport,Geneva,
01GE,small_airport,The Farm Airport,Wrightsville,
01IA,small_airport,Stender Airport,Maysville,
01ID,small_airport,Lava Hot Springs Airport,Lava Hot Springs,
01II,small_airport,Myers Field,Lizton,
01IS,small_airport,William E. Koenig Airport,Dow,
01J,small_airport,Hilliard Airpark,Hilliard,
01K,small_airport,Caldwell Municipal Airport,Caldwell,
01KS,small_airport,Flying N Ranch Airport,Lost Springs,
01LA,small_airport,Barham Airport,Oak Ridge,
01LL,small_airport,Schumaier Restricted Landing Area,Pinckneyville,
01LS,small_airport,Country Breeze Airport,Slaughter,
01MT,small_airport,Crystal Lakes Resort Airport,Fortine,
01NC,small_airport,Topsail Airpark,Holly Ridge,
01NE,small_airport,Detour Airport,Wellfleet,
01NH,small_airport,Moore Airfield,Canaan,
01NM,small_airport,Champion Ranch Airport,Artesia,
01NV,small_airport,Lantana Ranch Airport,Yerington,
01PN,small_airport,Bierly(Personal Use) Airport,Bellefonte,
01PS,small_airport,Nort's Resort Airport,Meshoppen,
01SC,small_airport,York Airport,York,
01TE,small_airport,Smith Field,Forney,
01TN,small_airport,Colonial Air Park,Collierville,
01TX,small_airport,Mims Farm Ultralightport,Waxahachie,
01U,small_airport,Duckwater Airport,Duckwater,
01UT,small_airport,La Sal Junction Airport,La Sal,
01VA,small_airport,Pickles Airport,Berryville,
01WI,small_airport,Prehn Cranberry Company Airport,Tomah,
01WY,small_airport,Keyhole Airport,Moorcroft,
02AK,small_airport,Rustic Wilderness Airport,Willow,
02AL,small_airport,Bass Field,Foley,
02CD,small_airport,Shannon Field,Clarksdale,
02CL,small_airport,Conover Air Lodge Airport,Frazier Park,
02CO,small_airport,Mc Cullough Airport,Monte Vista,
02FA,small_airport,Osborn Airfield,Groveland,
02GA,small_airport,Doug Bolton Field,Commerce,
02GE,small_airport,Etowah Fields Airport,Euharlee,
02ID,small_airport,Morgan Ranch Airport,Cascade,
02II,small_airport,King Ultralightport,Westfield,
02IN,small_airport,Diamond P. Field,Muncie,
02KS,small_airport,Jmj Landing Airport,St Marys,
02MD,small_airport,Garner Field,Brandywine,
02ME,small_airport,Nadeau's Airfield,Acton,
02MI,small_airport,Fairplains Airpark,Greenville,
02MN,small_airport,Greenbush Municipal Airport,Greenbush,
02MO,small_airport,Troy Airpark,Troy,
02MS,small_airport,Watts Field,Rochdale,
02NE,small_airport,Benes Service Airport,Valparaiso,
02NV,small_airport,Paiute Meadows Airport,Winnemucca,
02OH,small_airport,Zimmerman Airport,Fremont,
02OI,small_airport,Murtha Airport,Conneaut,
02OR,small_airport,Rowena Dell Airport,The Dalles,
02PR,small_airport,Cuylers Airport,Vega Baja,
02PS,small_airport,Hughes Ultralightport,Tioga,
02SC,small_airport,Harpers Airport,Estill,
02T,small_airport,Wise River Airport,Wise River,
02TN,small_airport,Ellis Field,Murfreesboro,
02TX,small_airport,The Palms At Kitty Hawk Airport,New Home,
02UT,small_airport,Lucin Airport,Lucin,
02VA,small_airport,The Greenhouse Airport,Culpeper,
02WA,small_airport,Cawleys South Prairie Airport,South Prairie,
02WI,small_airport,Beer Airport,Hudson,
02WN,small_airport,Fowler Field,Tonasket,
02XA,small_airport,JLS Farms Airport,Honey Grove,
03AZ,small_airport,Thompson International Aviation Airport,Hereford,
03CO,small_airport,Kugel-Strong Airport,Platteville,
03FA,small_airport,Lake Persimmon Airstrip,Lake Placid,
03GA,small_airport,HIA Airport,Statesboro,
03IA,small_airport,East Field,Montezuma,
03ID,small_airport,Flying Y Ranch Airport,Council,
03II,small_airport,Davis Field Ultralightport,Mount Vernon,
03IL,small_airport,Wix Airport,Monee,
03IN,small_airport,Heinzman Airport,Arcadia,
03KY,small_airport,Flying H Farms Airport,Henderson,
03MA,small_airport,Hadley Airport,Hadley,
03ME,small_airport,Maple Ridge Airport,Harrison,
03MN,small_airport,Nauerth Land Ranch Airport,Lakefield,
03MT,small_airport,Cascade Field,Cascade,
03MU,small_airport,Mc Donnell Airport,Archie,
03N,small_airport,Utirik Airport,Utirik Island,UTK
03NC,small_airport,Pilots Ridge Airport,Carolina Beach,
03ND,small_airport,Olafson Brothers Airport,Edinburg,
03NE,small_airport,Hyde Ranch Airport,Comstock,
03NV,small_airport,Llama Ranch Airport,Ruby Valley,
03NY,small_airport,Talmage Field,Riverhead,
03OH,small_airport,Gibbs Field,Fremont,
03OK,small_airport,Sahoma Lake Airport,Sapulpa,
03OR,small_airport,Powwatka Ridge Airport,Troy,
03PR,small_airport,Sun View Field Airport,Bonner Springs,
03S,small_airport,Sandy River Airport,Sandy,
03TE,small_airport,Barronena Ranch Airport,Hebbronville,
03UT,small_airport,A Z Minerals Corporation Airport,Mexican Hat,
03WA,small_airport,Spangle Field,Spangle,
03WI,small_airport,Zink Airport,Berlin,
03WN,small_airport,Aerostone Ranch Airport,Goldendale,
03XS,small_airport,Creekside Airport,Mertzon,
04AA,small_airport,Flying W Ranch Airport,Soldotna,
04CA,small_airport,Gray Butte Field,Palmdale,
04CL,small_airport,Hunt's Sky Ranch Airport,Julian,
04FA,small_airport,Richards Field,Homestead,
04FL,small_airport,Cross Creek Farms Airport,Ormond,
04I,small_airport,Columbus Southwest Airport,Columbus,
04IA,small_airport,Middlekoop Airport,Packwood,
04ID,small_airport,Lanham Field,Emmett,
04II,small_airport,Turkey Run Airport,New Haven,
04IL,small_airport,Schertz Aerial Service - Hudson Airport,Hudson,
04IS,small_airport,Van Gorder Airport,Mansfield,
04KY,small_airport,Natchez Trace Farm Airport,Hiseville,
04LL,small_airport,Brunner Airport,West Dundee,
04ME,small_airport,Beech Hill Airport,Mercer,
04MI,small_airport,Rapids Airway Airport,Eaton Rapids,
04MN,small_airport,Helblad Airport,Kelliher,
04MO,small_airport,Airpark Private Airport,Vandalia,
04MS,small_airport,Nick's Flying Service Inc Airport,Rolling Fork,
04MT,small_airport,Pluhar Airport,Cohagen,
04NE,small_airport,Mc Connell Field Airport,Sarben,
04NJ,small_airport,Emmanuel Airport,Elmer,
04NV,small_airport,Kingston Ranch Airport,Sandy Valley,
04NY,small_airport,Klaverack Airport,Hudson,
04OR,small_airport,Collins Landing Strip,Mitchell,
04TN,small_airport,Hensley Airpark,Chuckey,
04TX,small_airport,Pocock Airport,China Spring,
04UT,small_airport,Navajo Mountain Airport,Navajo Mountain Trdng Post,
04V,small_airport,Saguache Municipal Airport,Saguache,
04VG,small_airport,Manquin Flight Park Ultralightport,Manquin,
04VT,small_airport,Lightning Bolt Field Airport,Cabot,
04W,small_airport,Field of Dreams Airport,Hinckley,
04WA,small_airport,Ox Meadows Airport,Spokane,
04WI,small_airport,Dutch Gap Airstrip,Bristol,
04WN,small_airport,Stillwater Creek Airport,Royal City,
04XA,small_airport,Pecan Field,Jermyn,
05AK,small_airport,Wasilla Creek Airpark,Palmer,
05AR,small_airport,Ozark Skies Airpark,Kingston,
05CL,small_airport,Pope Valley Airport,Pope Valley,
05CO,small_airport,Rancho De Aereo Airport,Mead,
05FA,small_airport,Melanie's Airport,Florala,
05FL,small_airport,Charlton Strip,La Belle,
05GA,small_airport,Raju Airport,Richland,
05IA,small_airport,Spotts Field,Nora Springs,
05ID,small_airport,Running Creek Ranch Airport,Grangeville,
05II,small_airport,Reichhart Airport,New Haven,
05IL,small_airport,Classic Landings Airport,Bonfield,
05IN,small_airport,Cooper Airport,Belleville,
05IS,small_airport,Hardy Airport,Mount Auburn,
05KS,small_airport,Darbro Field,Elk City,
05KY,small_airport,Cartersville Airport,Berea,
05LA,small_airport,Greg's Flying Service Airport,Baskin,
05LS,small_airport,Grass Roots Airport,Alexandria,
05MD,small_airport,Breezecroft Airport,Chestertown,
05ME,small_airport,Drisko Airport,Jonesboro,
05MT,small_airport,Jones Landing,Belgrade,
05NE,small_airport,Mc Kay Airport,Spalding,
05NV,small_airport,Baker Ranches Airport,Baker,
05OI,small_airport,Dorlon Airpark,Columbia Station,
05OR,small_airport,Peacock Ranch Airport,Enterprise,
05PS,small_airport,Mills Brothers Airport,Burnt Cabins,
05S,small_airport,Vernonia Airfield,Vernonia,
05TA,small_airport,Brandes Air Field,Sealy,
05TE,small_airport,Hilde-Griff Field,Georgetown,
05TS,small_airport,Dew Drop Airport,Justin,
05TX,small_airport,Circle 'A' Ranch Airport,Blum,
05UT,small_airport,Oljato Airport,Oljato,
05V,small_airport,Blanca Airport,Blanca,
05VA,small_airport,Providence Airport,Farmville,
05WI,small_airport,Ames Private Airport,Darien,
05WN,small_airport,Flat Creek Field,Kettle Falls,
05XS,small_airport,Johnson Memorial Airport,Wilmot,
05Y,small_airport,Henning Municipal Airport,Henning,
06AK,small_airport,June Lake Airpark,Wasilla,
06AR,small_airport,Bondair Airport,Higden,
06CO,small_airport,Jecan Airport,Branson,
06FA,small_airport,William P Gwinn Airport,Jupiter,
06FD,small_airport,Grass Roots Airpark,Mascotte,
06IA,small_airport,Rich Field,Walford,
06ID,small_airport,Larkin Airport,Kuna,
06IL,small_airport,Humm Airport,Earlville,
06IS,small_airport,Sinele Strip,Nauvoo,
06MN,small_airport,Pike Field Airport,Virginia,
06MO,small_airport,Noahs Ark Airport,Waldron,
06MT,small_airport,Torgerson Airport,Ethridge,
06N,small_airport,Randall Airport,Middletown,
06NC,small_airport,Tailwinds Airport,St. Pauls,
06ND,small_airport,Fitterer's Strip,Glen Ullin,
06NH,small_airport,Cole Farm Airport,Kensington,
06NV,small_airport,Silver Creek Airport,Baker,
06NY,small_airport,Murphy Field,Auburn,
06OH,small_airport,Hal Joy Airfield,Williamsfield,
06OI,small_airport,Green Acres Airport,New Lebanon,
06OR,small_airport,Hayden Mountain Airport,Forest Grove,
06PA,small_airport,Freefall Oz Airport,Ceres,
06R,small_airport,Grawunder Field,Bellville,
06SN,small_airport,Beyer Farm Airport,Derby,
06TA,small_airport,Glaser Field,Buckholts,
06TE,small_airport,Ainsworth Airport,Cleveland,
06TN,small_airport,Hunter STOLport,Columbia,
06TX,small_airport,Diamond N Ranch Airport,Hockley,
06VA,small_airport,Mount Horeb Field,Grottoes,
06WI,small_airport,Young Private Airport,Frederic,
06WN,small_airport,Western Airpark,Yelm,
06XS,small_airport,Campbell Field,Aubrey,
06Y,small_airport,Herman Municipal Airport,Herman,
07AA,small_airport,Pan Lake Strip Airport,Willow,
07AR,small_airport,Morrilton Airport,Morrilton,
07B,small_airport,Blue Hill Airport,Blue Hill,
07CL,small_airport,Richvale Airport,Richvale,
07CO,small_airport,Comanche Creek Airport,Kiowa,
07D,small_airport,Tackaberry Airport,Avoca,
07FA,small_airport,Ocean Reef Club Airport,Key Largo,OCA
07GA,small_airport,Alcovy Airport,Covington,
07ID,small_airport,Interstate Airport,Malta,
07IN,small_airport,Gray Airport,Boggstown,
07K,small_airport,Central City Municipal - Larry Reineke Field,Central City,
07KS,small_airport,Heape Field,Augusta,
07KY,small_airport,Blue Lick Airport,Louisville,
07MD,small_airport,Baugher's Orchard Airport,Westminster,
07MI,small_airport,Scott Airstrip,Lake,
07MN,small_airport,Dairyview Airport,Hadley,
07MO,small_airport,Lake Sexton Airport,Warrensburg,
07MT,small_airport,Glasgow Industrial Airport,Glasgow,
07N,small_airport,Bermudian Valley Airpark,Kralltown,
07NC,small_airport,Hawks Meadow Airport,Waxhaw,
07NV,small_airport,Border Line Farm Airport,Baker,
07OK,small_airport,Pleasant Valley Airport,Snyder,
07OR,small_airport,Bruce's Airport,Milwaukie,
07PN,small_airport,Folmar Airport,Grassflat,
07SN,small_airport,Churchill Airport,Phillipsburg,
07TA,small_airport,Salaika Aviation Airport,Danbury,
07TE,small_airport,Cuddihy Field,Corpus Christi,
07TN,small_airport,Corntassel Airport,Vonore,
07TS,small_airport,Cross-Country Estates Airport,Georgetown,
07UT,small_airport,E Northrop Grumman Airport,Howell,
07VA,small_airport,Alpha Hotel Airport,Clover,
07VT,small_airport,Meadow STOLport,Jericho,
07Y,small_airport,Hill City-Quadna Mountain Airport,Hill City,
08AK,small_airport,Fisher Airport,Big Lake,
08B,small_airport,Merrymeeting Field,Bowdoinham,
08CL,small_airport,Kistler Ranch Airport,Jamestown,
08CO,small_airport,Terra Firma Airport,Rush,
08F,small_airport,City of Coalgate Airport,Coalgate,
08FA,small_airport,Duda Airstrip,La Belle,
08FD,small_airport,Sunniland Ranch Airport,Okeechobee,
08FL,small_airport,J. H. Hendrie Farms Airport,Lake Placid,
08GA,small_airport,Sapelo Island Airport,Darien,
08ID,small_airport,Symms Airport,Marsing,
08IS,small_airport,Hemmer RLA Restricted Landing Area,Du Quoin,
08KS,small_airport,Alderson Airport,Bennington,
08KY,small_airport,Boss Airport,Burnside,
08LL,small_airport,Sauer Airport,Dwight,
08LS,small_airport,Aeleron Airport,Grand Coteau,
08MA,small_airport,Wormid Airport,Southborough,
08ME,small_airport,Lindbergh Airport,Avon,
08MO,small_airport,Twin Oaks Airport,Jasper,
08MS,small_airport,Williams Field,Coldwater,
08MT,small_airport,Matovich Airport,Grass Range,
08N,small_airport,Keller Brothers Airport,Lebanon,
08NC,small_airport,Whiteheart Farm Airport,Lewisville,
08ND,small_airport,Brecht Strip,Golden Valley,
08NE,small_airport,Laurel Municipal Airport,Laurel,
08NY,small_airport,Md1 Airport,Middletown,
08OH,small_airport,Kenley Airport,Hartford,
08OK,small_airport,Parks Airport,Wilburton,
08OL,small_airport,Broken B Airport,Hydro,
08OR,small_airport,Saxon Sycan Airport,Silver Lake,
08R,small_airport,Richmond Airport,West Kingston,
08TE,small_airport,B. J. Mc Combs Sisterdale Airport,Comfort,
08TN,small_airport,PTC Airport,Fayetteville,
08TX,small_airport,Cross Wind Airport,Weatherford,
08U,small_airport,Stevens-Crosby Airport,North Fork,
08VA,small_airport,Springwood Airstrip,Buchanan,
08XA,small_airport,Knolle Ranch Airport,Snook,
08XS,small_airport,Peterson Airport,Old Ocean,
09AK,small_airport,West Beaver Airport,Big Lake,
09AZ,small_airport,Stronghold Airport,St David,
09CL,small_airport,Alta Sierra Airport,Grass Valley,
09CO,small_airport,Cottonwood Field,Swink,
09FA,small_airport,Placid Lakes Airport,Lake Placid,
09FD,small_airport,Cheryl-Lane Landings Airport,Bushnell,
09FL,small_airport,Sunnybreeze Airport,Arcadia,
09GA,small_airport,Sunbelt Strip,Moultrie,
09IA,small_airport,Skydive Iowa Airport,Brooklyn,
09ID,small_airport,Taylor Ranch Landing Area Airport,Moscow,
09II,small_airport,Gibbons Field,Valeene,
09IN,small_airport,Gordon Airport,Columbia City,
09KS,small_airport,Coffman Airport,Wellsville,
09LL,small_airport,Pine Hill Airport,Capron,
09MA,small_airport,Kallander Field,Southborough,
09ME,small_airport,Perrotti Skyranch Airfield,Berwick,
09MN,small_airport,W Johnson Field,Hazel Run,
09MO,small_airport,Hogue Farm Airport,Willard,
09N,small_airport,Airhaven Airport,Staatsburg,
09NC,small_airport,William Irving Lewis Airport,Broadway,
09NE,small_airport,Summer Hill Farm Airport,Bennington,
09NR,small_airport,Dakota Air Ranch Airport,Ramseur,
09OK,small_airport,Ragtime Aerodrome,Collinsville,
09PA,small_airport,Eagle Field,Port Matilda,
09S,small_airport,Sullivan Lake State Airport,Metaline Falls,
09TA,small_airport,Lazy G Bar Ranch Airport,Decatur,
09TE,small_airport,Running M Ranch Airport,Glen Rose,
09TS,small_airport,Pitcock Rosillos Mountain Ranch Airport,Marathon,
09TX,small_airport,Smokey Mtn Ranch Airport,Sheffield,
09VA,small_airport,Alum Ridge STOLport,Floyd,
09WI,small_airport,Parkway Farm Strip,Holmen,
0AA7,small_airport,Kalifonsky Meadows Airport,Kenai,
0AK,small_airport,Pilot Station Airport,Pilot Station,PQS
0AK0,small_airport,Scotts Airport,North Pole,
0AK1,small_airport,Anderson Lake Airport,Wasilla,
0AK2,small_airport,Yentna Bend Strip,Willow,
0AK3,small_airport,Parker Lake Airport,Montana Creek,
0AK5,small_airport,Young Creek Airport,May Creek,
0AK6,small_airport,Victory Airport,Victory Bible Camp,
0AK7,small_airport,Bradley Lake Hydroelectri Project Airstrip,Homer,
0AK9,small_airport,Falcon Lake Strip,Point Mackenzie,
0AL1,small_airport,Resort Airport,Foley,
0AL5,small_airport,Flomaton Airport,Flomaton,
0AL9,small_airport,Wilson Creek Airport,Florence,
0AR2,small_airport,Mission Field-Marotti Memorial Airport,Crawfordsville,
0AZ2,small_airport,Western Sky Airport,Salome,
0AZ4,small_airport,Flying Bucket Ranch Airport,Mobile,
0AZ5,small_airport,Castle Well Airport,Morristown,
0B2,small_airport,Brewer Airport,Brewer,
0B7,small_airport,Warren-Sugarbush Airport,Warren,
0C1,small_airport,Triple R Airport,Dearborn,
0C2,small_airport,Hinckley Airport,Hinckley,
0C5,small_airport,Canadian Lakes Airport,Mecosta,
0C7,small_airport,Grandpas' Farm Mendota Airport,Mendota,
0C8,small_airport,Cushing Field Ltd Airport,Newark,
0CA3,small_airport,Crawford Airport,Santa Ynez,
0CA4,small_airport,Shepherd Farm Airport,Santa Ynez,
0CA5,small_airport,Hoffman Private Airport,Santa Ysabel,
0CA6,small_airport,Emory Ranch Airport,Ocotillo,
0CA8,small_airport,Ward Ranch Airport,Aguanga,
0CA9,small_airport,Blech Ranch Airport,Shandon,
0CD2,small_airport,Foxx Valley Airport,Yoder,
0CD5,small_airport,Pinon Canyon Airport,Trinidad,
0CD7,small_airport,Fox Hole Airport,Lafayette,
0CL0,small_airport,Yosemite Hidden Lake Ranch Airport,Raymond,
0CL1,small_airport,Krey Field Airport,Adelanto,
0CL3,small_airport,John Nichol's Field Airport,Chula Vista,
0CL6,small_airport,Bohunk's Airpark,Lancaster,
0CL8,small_airport,Tera Ultralightport,Ridgecrest,
0CN1,small_airport,Fiorini Ranch Airport,Delhi,
0CN2,small_airport,Sutter Butte Dusters Airport,Live Oak,
0CO1,small_airport,Dave's Airport,Louisville,
0CO2,small_airport,Crested Butte Airpark,Crested Butte,CSE
0CO5,small_airport,Chenoweth Airport,Last Chance,
0CO6,small_airport,Flying M & M Ranch Airport,Norwood,
0CO8,small_airport,Cartwheel Airport,Mead,
0CO9,small_airport,Van Treese Airport,Monte Vista,
0D6,small_airport,Wilber Municipal Airport,Wilber,
0D7,small_airport,Ada Airport,Ada,
0D9,small_airport,Air Park North,Alba,
0.00E+00,small_airport,Corydon Airport,Corydon,
0FA1,small_airport,Ott's Landing Airport,Arcadia,
0FD0,small_airport,The 2A Ranch Airport,Ormond Beach,
0FD3,small_airport,Dugger Field,Freeport,
0FD5,small_airport,Breezy Knoll Airport,Defuniak Springs,
0FD9,small_airport,Joy Farms Airport,Defuniak Springs,
0FL0,small_airport,Harper's Fly-In Ranch Airport,Clewiston,
0FL9,small_airport,Mc Daniel Ranch Inc. Airport,Clewiston,
0G0,small_airport,North Buffalo Suburban Airport,Lockport,
0GA0,small_airport,Halls Flying Ranch Airport,Hampton,
0GA1,small_airport,Mustang Field,Hartwell,
0GA2,small_airport,"Airnautique, Inc. Airport",Hartwell,
0GA3,small_airport,Ayresouth Airport,Temple,
0GA4,small_airport,Paradise Falls Airport,High Shoals,
0GA6,small_airport,Sunset Strip,Jersey,
0GA8,small_airport,Paso Fino Farm Airport,Valdosta,
0GA9,small_airport,Roberta Industrial Park Airport,Roberta,
0GE0,small_airport,Pinewood Airport,Douglasville,
0GE1,small_airport,Crystal Lake Airpark,Irwinville,
0GE3,small_airport,Lookout Mountain Airport,Trenton,
0GE4,small_airport,Pecan Patch Airstrip,Sunnyside,
0GE5,small_airport,Mountain Airpark,Cleveland,
0GE7,small_airport,Carpenter Airport,Appling,
0GE9,small_airport,Pegasus Ranch Airport,Rocky Ford,
0H7,small_airport,Kahoka Municipal Airport,Kahoka,
0I2,small_airport,Brazil Clay County Airport,Brazil,
0IA3,small_airport,Hawkeye Airport,Waterloo,
0IA4,small_airport,Sharar Field,Mediapolis,
0IA5,small_airport,Moore Private Airport,Millerton,
0IA6,small_airport,Rinehart Airport,Victor,
0IA8,small_airport,Hannen Airport,Center Point,
0ID0,small_airport,South Fork Ranch Airport,Featherville,
0ID1,small_airport,Ziggy's Airport,Filer,
0ID2,small_airport,Flying Joseph Ranch Airport,May,
0ID3,small_airport,Coyote Run Airport,Mountain Home,
0ID4,small_airport,Black Butte Ranch Airport,Shoshone,
0ID5,small_airport,Ez Lope Ranch Airport,Oreana,
0ID7,small_airport,Z X Ranch Airport,Murphy,
0ID8,small_airport,Pinnacle Airport,Grangeville,
0ID9,small_airport,Corral Creek Airport,Helmer,
0II0,small_airport,Chuck's Airport,Albany,
0II1,small_airport,Unsicker Airport,Bremen,
0II2,small_airport,Creighton Airport,Bremen,
0II5,small_airport,Marshall Field,Chalmers,
0II6,small_airport,Kropf Airport,Goshen,
0II7,small_airport,Frost Field,Greenfield,
0II8,small_airport,Sutton's Field,Lowell,
0II9,small_airport,Winters Airport,Hall,
0IL2,small_airport,Griffin Airport,Alma,
0IL3,small_airport,Flying B Ranch Airport,Danville,
0IL8,small_airport,Walter Airport,De Kalb,
0IL9,small_airport,Jack W. Watson Airport,De Kalb,
0IN1,small_airport,Snider Field,Decker,
0IN2,small_airport,The Lazy K Airport,Tocsin,
0IN3,small_airport,Graves Landing Strip,Winamac,
0IN4,small_airport,Air Park Field,Woodburn,
0IN5,small_airport,Byrne Field,Byrneville,
0IN9,small_airport,Parrish Airport,Mount Vernon,
0IS3,small_airport,Cady Aerial RLA Restricted Landing Area,Deer Grove,
0IS4,small_airport,Dawson Farms Airport,Lovington,
0J0,small_airport,Abbeville Municipal Airport,Abbeville,
0J8,small_airport,Flying Ten Airport,Archer,
0K6,small_airport,Dobie's Airport,Inola,
0KS0,small_airport,J V Ranch Airport,Osage City,
0KS3,small_airport,Camp Chippewa Airport,Ottawa,
0KS4,small_airport,Norris Airport,Lawrence,
0KS6,small_airport,Kendrigan Airport,Peck,
0KS7,small_airport,Mono Aircraft Airport,Cheney,
0KS8,small_airport,Pearce Field,Parsons,
0KS9,small_airport,Lmn 120 Airport,Douglas,
0KY0,small_airport,Owen Air Park,Owenton,
0KY1,small_airport,Arnemann Farms Airport,Franklin,
0KY4,small_airport,Cambron Field,Owensboro,
0KY5,small_airport,Falin Landing Strip,Bowling Green,
0KY7,small_airport,Clinton-Hickman County Airport,Clinton,
0L4,small_airport,Lida Junction Airport,Goldfield,
0L5,small_airport,Goldfield Airport,Goldfield,
0LA1,small_airport,Double H Ranch Airport,Gonzales,
0LA3,small_airport,Belcher Airpatch Airport,Belcher,
0LA9,small_airport,Rebel Field,Watson,
0LL0,small_airport,Kaufield Airport,Belvidere,
0LL1,small_airport,Jerseyville Aviation Inc Airport,Jerseyville,
0LL2,small_airport,Murk's Strip,St. Augustine,
0LL3,small_airport,Koenig Airport,Jerseyville,
0LL4,small_airport,Flaherty Field,La Salle,
0LL5,small_airport,Busboom RLA Restricted Landing Area,St Joseph,
0LL6,small_airport,Gord Airport,Sandwich,
0LS0,small_airport,Theriot Field,Thibodaux,
0LS5,small_airport,Trahan Ultralightport,Cankton,
0LS6,small_airport,Dufour Airport,Morrow,
0LS7,small_airport,Morgan Field,New Roads,
0LS8,small_airport,Lonesome Dove Airfield,Woodlawn,
0LS9,small_airport,Huenefeld Airport,Monroe,
0MD1,small_airport,Taylor Field,Sudlersville,
0MD2,small_airport,Squier Landing Airport,Cobb Island,
0MD4,small_airport,Pond View Private Airport,Chestertown,
0MD6,small_airport,Walters Airport,Mount Airy,
0ME4,small_airport,Peasley Field,Otis,
0MI1,small_airport,Sugar Springs Airpark,Gladwin,
0MI3,small_airport,Kelleys Airport,Grayling,
0MI4,small_airport,Lesterson-Dempsey Airstrip,Gwinn,
0MI6,small_airport,Young's Airport,Hulbert,
0MN1,small_airport,Brinkman Airport,St. Peter,
0MN5,small_airport,Pankratz Airport,Springfield,
0MN6,small_airport,Matson Field,Spring Valley,
0MO0,small_airport,Ferros Ranch-Aero Airport,Clinton,
0MO1,small_airport,Flying G Airport,Creighton,
0MO2,small_airport,Short-N-Ruff Airport,Caledonia,
0MO5,small_airport,Joe D Lewis Airport,Edina,
0MO6,small_airport,Hall Airport,Edina,
0MO8,small_airport,Sloan's Airport,Elsberry,
0MS0,small_airport,Topton Air Estates Airport,Meridian,
0MS1,small_airport,Franklin Field,Meadville,
0MS2,small_airport,Morgan Field,Seminary,
0MS5,small_airport,Lewis Air Service Airport,Leland,
0MS7,small_airport,Hale Field,Pontotoc,
0MS8,small_airport,Catfish Point Airport,Benoit,
0MS9,small_airport,Shenandoah Valley Farms Airport,Houston,
0MT1,small_airport,Williams Field,Augusta,
0MT4,small_airport,Kimp Airport,Hamilton,
0MT5,small_airport,Cottonwood Airport,Laurel,
0MT6,small_airport,Hanson Airport,Marion,
0MT7,small_airport,Pinehurst Ranch Airport,Thompson Falls,
0MT9,small_airport,Lone Hawk Airport,White Fish,
0MU0,small_airport,Eagle Field,Ellington,
0MU1,small_airport,Sunderland Airport,Avilla,
0MU4,small_airport,Slaughter Airport,Marceline,
0MU7,small_airport,Lambs Field,Lone Jack,
0MU8,small_airport,Prince STOLport,Millersville,
0MU9,small_airport,RPM Airport,Fair Grove,
0N0,small_airport,Roosterville Airport,Liberty,
0N4,small_airport,Chandelle Airport,Dover,
0N6,small_airport,Albanna Aviation Airport,Felton,
0NA1,small_airport,Goerger Airport,Barney,
0NA5,small_airport,Sorlie Airport,Maddock,
0NA9,small_airport,Boyd's Turf Airport,Golva,
0NC1,small_airport,Bearwallow Farm Airport,Hendersonville,
0NC7,small_airport,Lindsay Airport,Madison,
0NC8,small_airport,Flying S Ranch Airport,Cleveland,
