ident,type,name,iso_region,iata_code
03IA,small_airport,East Field,US-IA,
03ID,small_airport,Flying Y Ranch Airport,US-ID,
03II,small_airport,Davis Field Ultralightport,US-IN,
03IL,small_airport,Wix Airport,US-IL,
03IN,small_airport,Heinzman Airport,US-IN,
03KY,small_airport,Flying H Farms Airport,US-KY,
03MA,small_airport,Hadley Airport,US-MA,
03ME,small_airport,Maple Ridge Airport,US-ME,
03MN,small_airport,Nauerth Land Ranch Airport,US-MN,
03MT,small_airport,Cascade Field,US-MT,
03MU,small_airport,Mc Donnell Airport,US-MO,
03N,small_airport,Utirik Airport,MH-UTI,UTK
03NC,small_airport,Pilots Ridge Airport,US-NC,
03ND,small_airport,Olafson Brothers Airport,US-ND,
03NE,small_airport,Hyde Ranch Airport,US-NE,
03NV,small_airport,Llama Ranch Airport,US-NV,
03NY,small_airport,Talmage Field,US-NY,
03OH,small_airport,Gibbs Field,US-OH,
03OK,small_airport,Sahoma Lake Airport,US-OK,
03OR,small_airport,Powwatka Ridge Airport,US-OR,
03PR,small_airport,Sun View Field Airport,US-KS,
03S,small_airport,Sandy River Airport,US-OR,
03TE,small_airport,Barronena Ranch Airport,US-TX,
03UT,small_airport,A Z Minerals Corporation Airport,US-UT,
03WA,small_airport,Spangle Field,US-WA,
03WI,small_airport,Zink Airport,US-WI,
03WN,small_airport,Aerostone Ranch Airport,US-WA,
03XS,small_airport,Creekside Airport,US-TX,
04AA,small_airport,Flying W Ranch Airport,US-AK,
04CA,small_airport,Gray Butte Field,US-CA,
04CL,small_airport,Hunt's Sky Ranch Airport,US-CA,
04FA,small_airport,Richards Field,US-FL,
04FL,small_airport,Cross Creek Farms Airport,US-FL,
04I,small_airport,Columbus Southwest Airport,US-OH,
04IA,small_airport,Middlekoop Airport,US-IA,
04ID,small_airport,Lanham Field,US-ID,
04II,small_airport,Turkey Run Airport,US-IN,
04IL,small_airport,Schertz Aerial Service - Hudson Airport,US-IL,
04IS,small_airport,Van Gorder Airport,US-IL,
04KY,small_airport,Natchez Trace Farm Airport,US-KY,
04LL,small_airport,Brunner Airport,US-IL,
04ME,small_airport,Beech Hill Airport,US-ME,
04MI,small_airport,Rapids Airway Airport,US-MI,
04MN,small_airport,Helblad Airport,US-MN,
04MO,small_airport,Airpark Private Airport,US-MO,
04MS,small_airport,Nick's Flying Service Inc Airport,US-MS,
04MT,small_airport,Pluhar Airport,US-MT,
04NE,small_airport,Mc Connell Field Airport,US-NE,
04NJ,small_airport,Emmanuel Airport,US-NJ,
04NV,small_airport,Kingston Ranch Airport,US-NV,
04NY,small_airport,Klaverack Airport,US-NY,
04OR,small_airport,Collins Landing Strip,US-OR,
04TN,small_airport,Hensley Airpark,US-TN,
04TX,small_airport,Pocock Airport,US-TX,
04UT,small_airport,Navajo Mountain Airport,US-UT,
04V,small_airport,Saguache Municipal Airport,US-CO,
04VG,small_airport,Manquin Flight Park Ultralightport,US-VA,
04VT,small_airport,Lightning Bolt Field Airport,US-VT,
04W,small_airport,Field of Dreams Airport,US-MN,
04WA,small_airport,Ox Meadows Airport,US-WA,
