ident,type,name,iso_region,iata_code
FBLO,small_airport,Lobatse Airport,BW-SE,LOQ
FBMG,small_airport,Machaneng Airport,BW-CE,
FBMN,medium_airport,Maun Airport,BW-NW,MUB
FBMU,small_airport,Mamuno Airport,BW-GH,
FBNB,small_airport,Nxabega Airport,BW-NW,
FBNN,small_airport,Nokaneng Airport,BW-NW,
FBNT,small_airport,Nata Airport,BW-CE,
FBNX,small_airport,Nxamaseri Airport,BW-NW,
FBOD,small_airport,Oakdene Airport,BW-GH,
FBOK,small_airport,Okwa Airport,BW-GH,
FBOM,small_airport,Omdop Airport,BW-NW,
FBOR,small_airport,Orapa Airport,BW-CE,ORP
FBPA,small_airport,Pandamatenga Airport,BW-NW,
FBPY,small_airport,Palapye Airport,BW-CE,QPH
FBSI,small_airport,Saile Airport,BW-NW,
FBSK,large_airport,Sir Seretse Khama International Airport,BW-SE,GBE
FBSL,small_airport,Selinda Airport,BW-NW,
FBSN,medium_airport,Sua Pan Airport,BW-CE,SXN
FBSP,medium_airport,Selebi Phikwe Airport,BW-CE,PKW
FBSV,small_airport,Savuti Airport,BW-NW,SVT
FBSW,small_airport,Shakawe Airport,BW-NW,SWX
FBTH,small_airport,Tsodilo Hills Airport,BW-NW,
FBTL,small_airport,Limpopo Valley Airport,BW-CE,TLD
FBTN,small_airport,Tonunga Airport,BW-CE,
FBTP,small_airport,Thebephatshwa Airport,BW-KW,
FBTS,small_airport,Tshabong Airport,BW-KG,TBY
FBVM,small_airport,Vumbura Airport,BW-NW,
FBXA,small_airport,Xai Xai Airport,BW-NW,
FBXB,small_airport,Xaxaba Airport,BW-NW,
FBXG,small_airport,Xugana Airport,BW-NW,
FBXI,small_airport,Xigera Airport,BW-NW,
FBXR,small_airport,Xorogom Airport,BW-NW,
FCBA,small_airport,La Louila Airport,CG-12,
FCBB,medium_airport,Maya-Maya Airport,CG-12,BZV
FCBD,small_airport,Djambala Airport,CG-14,DJM
FCBK,small_airport,Kindamba Airport,CG-12,KNJ
FCBL,small_airport,Lague Airport,CG-14,LCO
FCBM,small_airport,Mouyondzi Airport,CG-11,MUY
FCBP,small_airport,M'passa Airport,CG-12,
FCBS,small_airport,Sibiti Airport,CG-2,SIB
FCBT,small_airport,Loutete Airport,CG-11,
FCBU,small_airport,Aubeville Airport,CG-11,
FCBY,small_airport,Yokangassi Airport,CG-11,NKY
FCBZ,small_airport,Zanaga Airport,CG-2,ANJ
FCMA,small_airport,Mavinza Airport,CG-9,
FCMB,small_airport,N'Ziba Airport,CG-9,
FCMD,small_airport,Sidetra Airport,CG-9,
FCMF,small_airport,Loufoula Airport,CG-9,
FCMG,small_airport,Gokango Airport,CG-9,
FCMI,small_airport,Irogo Airport,CG-9,
FCMK,small_airport,Kele Kibangou Airport,CG-9,
FCML,small_airport,Leboulou Airport,CG-9,
FCMM,small_airport,Mossendjo Airport,CG-9,MSX
FCMN,small_airport,N'gongo Airport,CG-9,
FCMO,small_airport,Mandoro Airport,CG-9,
FCMR,small_airport,Marala Airport,CG-9,
FCMS,small_airport,Nyanga Airport,CG-9,
FCMY,small_airport,Legala Airport,CG-9,
FCMZ,small_airport,N'Zabi Airport,CG-9,
FCOB,small_airport,Boundji Airport,CG-8,BOE
FCOD,medium_airport,Oyo Ollombo Airport,CG-14,OLL
FCOE,small_airport,Ewo Airport,CG-8,EWO
FCOG,small_airport,Gamboma Airport,CG-14,GMM
FCOI,small_airport,Impfondo Airport,CG-7,ION
FCOK,small_airport,Kelle Airport,CG-8,KEE
FCOM,small_airport,Makoua Airport,CG-8,MKJ
FCOO,medium_airport,Owando Airport,CG-8,FTX
FCOS,small_airport,Souanke Airport,CG-13,SOE
FCOT,small_airport,Betou Airport,CG-7,BTB
FCOU,medium_airport,Ouesso Airport,CG-13,OUE
FCPA,small_airport,Makabana Airport,CG-9,KMK
FCPB,small_airport,Bangamba Airport,CG-2,
FCPE,small_airport,Leganda Airport,CG-2,
FCPG,small_airport,Kibangou Airport,CG-9,
FCPI,small_airport,Loubetsi Airport,CG-9,
FCPK,small_airport,N'komo Airport,CG-5,
FCPL,medium_airport,Ngot Nzoungou Airport,CG-9,DIS
FCPN,small_airport,Noumbi Airport,CG-5,
FCPO,small_airport,Pemo Airport,CG-9,
FCPP,medium_airport,Pointe Noire Airport,CG-5,PNR
FCPY,small_airport,Loukanyi Airport,CG-5,
FD02,small_airport,Patch O Blue Airport,US-FL,
FD03,small_airport,The Funny Farm Airport,US-FL,
FD04,small_airport,Leeward Air Ranch Airport,US-FL,
FD08,small_airport,Antiquers Aerodrome,US-FL,
FD09,small_airport,Rlm Farms Airport,US-FL,
FD14,small_airport,Paniola Air Ranch Airport,US-FL,
FD15,small_airport,Tailwinds Airport,US-FL,
FD16,small_airport,Flying C Farm Airport,US-FL,
FD20,small_airport,Sundance Farms Airport,US-FL,
FD22,small_airport,Melrose Landing Airport,US-FL,
FD24,small_airport,Southern Fruit Groves Airport,US-FL,
FD25,small_airport,Fly In Ranches Airport,US-FL,
FD26,small_airport,Kirkland Airport,US-FL,
FD27,small_airport,Cuyler Field,US-FL,
FD29,small_airport,Flying Dutchman Ranch Airport,US-FL,
FD30,small_airport,Southeastern Airport,US-FL,
FD31,small_airport,Bradley Airport,US-FL,
FD33,small_airport,Green Swamp Aerodrome,US-FL,
FD35,small_airport,Redhead Airport,US-FL,
FD37,small_airport,Gentry Airport,US-FL,
FD38,small_airport,Wellington Aero Club Airport,US-FL,
FD39,small_airport,Flying Cow Air Ranch Airport,US-FL,
FD42,small_airport,Cooksey Brothers Airport,US-FL,
FD44,small_airport,Eagles Nest Aerodrome,US-FL,
FD48,small_airport,Deep Forest Airport,US-FL,
FD49,small_airport,Montgomery's Flying M Ranch Airport,US-FL,
FD50,small_airport,The Trails Airport,US-FL,
FD51,small_airport,Summerland Key Cove Airport,US-FL,
FD53,small_airport,Cub Haven STOLport,US-FL,
FD55,small_airport,Rutten Dusting Strip,US-FL,
FD57,small_airport,Baggett STOLport,US-FL,
FD61,small_airport,Wright Farms Airport,US-FL,
FD63,small_airport,Squires Aviation Ranch Airport,US-FL,
FD70,small_airport,River Acres Airport,US-FL,
FD71,small_airport,O'Brien Airpark East/West Airport,US-FL,
FD72,small_airport,Kings Port Airport,US-FL,
FD74,small_airport,Gamebird Groves Airstrip,US-FL,
FD77,small_airport,Wimauma Air Park,US-FL,
FD81,small_airport,Gleim Field,US-FL,
FD82,small_airport,Porter Airport,US-FL,
FD83,small_airport,Stout Airport,US-FL,
FD84,small_airport,Delta Airport,US-FL,
FD86,small_airport,Deep Woods Ranch Airport,US-FL,
FD88,small_airport,Aero Acres Airport,US-FL,
FD89,small_airport,Collier/Pine Barren Airpark,US-FL,
FD90,small_airport,Lafayette Landings Airport,US-FL,
FD92,small_airport,Southerland Strip,US-FL,
FD93,small_airport,Yellow River Airstrip,US-FL,
FD94,small_airport,Hartzog Field,US-FL,
FD96,small_airport,Hilliard's Private Airport,US-FL,
FDBM,small_airport,Matata Airport,SZ-LU,
FDBS,small_airport,Big Bend Sugar E Airport,SZ-LU,
FDBT,small_airport,Tambuti Airport,SZ-LU,
FDGL,small_airport,Lavumisa Airport,SZ-SH,
FDKB,small_airport,Kubuta Airport,SZ-SH,
FDMH,small_airport,Mhlume Airport,SZ-LU,
FDMS,medium_airport,Matsapha Airport,SZ-MA,MTS
FDNG,small_airport,Piggs Peak Airport,SZ-HH,
FDNH,small_airport,Nhlangano Airport,SZ-SH,
FDNS,small_airport,Nsoko Airport,SZ-LU,
FDSK,large_airport,King Mswati III International Airport,SZ-LU,SHO
FDSM,small_airport,Simunye Airport,SZ-LU,
FDST,small_airport,Siteki Airport,SZ-LU,
FDTM,small_airport,Tambankulu Airport,SZ-LU,
FDTS,small_airport,Tshaneni Airport,SZ-LU,
FDUB,small_airport,Ubombo Ranches Airport,SZ-LU,
FEA,small_airport,Fetlar Airport,GB-SCT,FEA
FEFA,small_airport,Alindao Airport,CF-BK,
FEFB,small_airport,Poste Airport,CF-HM,
FEFC,small_airport,Carnot Airport,CF-HS,CRF
FEFD,small_airport,Damara Airport,CF-MP,
FEFE,small_airport,Mobaye Mbanga Airport,CF-BK,
FEFF,medium_airport,Bangui M'Poko International Airport,CF-MP,BGF
FEFG,small_airport,Bangassou Airport,CF-MB,BGU
FEFI,small_airport,Birao Airport,CF-VR,IRO
FEFK,small_airport,KembÃ© Airport,CF-BK,
FEFM,small_airport,Bambari Airport,CF-UK,BBY
FEFN,small_airport,N'DÃ©lÃ© Airport,CF-BB,NDL
FEFO,small_airport,Bouar Airport,CF-NM,BOP
FEFP,small_airport,Paoua Airport,CF-OP,
FEFQ,small_airport,Kaga-Bandoro Airport,CF-KB,
FEFR,small_airport,Bria Airport,CF-HK,BIV
FEFS,small_airport,Bossangoa Airport,CF-AC,BSN
FEFT,medium_airport,BerbÃ©rati Airport,CF-HS,BBT
FEFU,small_airport,Sibut Airport,CF-KG,
FEFW,small_airport,Ouadda Airport,CF-HK,ODA
FEFY,small_airport,Yalinga Airport,CF-HK,AIG
FEFZ,small_airport,Zemio Airport,CF-HM,IMO
FEGB,small_airport,Bambouli Airport,CF-HM,
FEGC,small_airport,Bocaranga Airport,CF-OP,
FEGD,small_airport,Dekoa Airport,CF-KG,
FEGE,small_airport,M'Boki Airport,CF-HM,MKI
FEGF,small_airport,Batangafo Airport,CF-AC,BTG
FEGG,small_airport,Gamboula Airport,CF-HS,
FEGI,small_airport,Grimari Airport,CF-UK,
FEGL,small_airport,Gordil Airport,CF-BB,GDI
FEGM,small_airport,Bakouma Airport,CF-MB,BMF
FEGO,small_airport,Ouanda DjallÃ© Airport,CF-VR,ODJ
FEGR,small_airport,RafaÃ¯ Airport,CF-MB,RFA
FEGU,small_airport,Bouca Airport,CF-AC,BCF
FEGZ,small_airport,Bozoum Airport,CF-OP,BOZ
FGAB,small_airport,AnnobÃ³n Airport,GQ-AN,NBN
FGBT,medium_airport,Bata Airport,GQ-LI,BSG
FGMY,small_airport,President Obiang Nguema International Airport,GQ-WN,GEM
FGSL,medium_airport,Malabo Airport,GQ-BN,SSG
FHAW,medium_airport,RAF Ascension Island,SH-AC,ASI
FHB,small_airport,Fernandina Beach Muni Airport,US-FL,
FHSH,small_airport,St. Helena Airport,SH-SH,HLE
FI-0001,small_airport,Pistohiekan Glider Field,FI-IS,
FI-0002,small_airport,Ummeljoki KW,FI-ES,
FI-0003,small_airport,NummijÃ¤rvi airstrip,FI-LS,
FI-0004,small_airport,ÃhtÃ¤rin kevytlentopaikka,FI-U-A,
FI-0005,small_airport,MÃ¤nttÃ¤ - Sassi Airfield,FI-U-A,
FIMP,large_airport,Sir Seewoosagur Ramgoolam International Airport,MU-GP,MRU
FIMR,medium_airport,Sir Charles Gaetan Duval Airport,MU-VP,RRG
FIN,small_airport,Finschhafen Airport,PG-MPL,FIN
FJ-0001,small_airport,Taunovo Airstrip,FJ-C,
FJDG,medium_airport,Diego Garcia Naval Support Facility,IO-U-A,NKW
FK-0001,small_airport,Fox Bay Clay Airstrip,FK-U-A,
FK-0002,small_airport,Pebble Island Landing Strip,FK-U-A,
FK-0003,small_airport,Sea Lion Lodge Airstrip,FK-U-A,
FK-0004,small_airport,West Point Island Landing Strip,FK-U-A,
FK-0005,small_airport,Goose Green Airfield,FK-U-A,
FK-0006,small_airport,Roy Cove Landing Strip,FK-U-A,
FK-0007,small_airport,Spring Point Landing Strip,FK-U-A,
FK-0008,small_airport,Port San Carlos Landing Strip,FK-U-A,
FK-0009,small_airport,Port Howard Purvis Pond Airstrip,FK-U-A,
FK-0010,small_airport,Saunders Island Landing Strip,FK-U-A,
FK-0011,small_airport,Carcass Island Landing Strip,FK-U-A,
FK-0012,small_airport,Port Stephens Airport,FK-U-A,
FK-0013,small_airport,Port Abermarle Airport,FK-U-A,
FK-0014,small_airport,Dunnose Head Airport,FK-U-A,
FK-0015,small_airport,Shallow Harbour Airport,FK-U-A,
FK-0016,small_airport,Hill Cove Airport,FK-U-A,
FK-0017,small_airport,Chartres Airport,FK-U-A,
FK-0018,small_airport,New Island Airport,FK-U-A,
FK-0019,small_airport,North Arm Airport,FK-U-A,
FK-0020,small_airport,Salvador Airport,FK-U-A,
FK-0022,small_airport,Lively Island Airport,FK-U-A,
FK-0023,small_airport,George Island Airport,FK-U-A,
FK-0024,small_airport,Douglas Station Airport,FK-U-A,
FK-0026,small_airport,Speedwell Island Airport,FK-U-A,
FK-0027,small_airport,Bleaker Island Airport,FK-U-A,
FK-0028,small_airport,Weddell Island Airport,FK-U-A,
FK-0029,small_airport,Beaver Island Airport,FK-U-A,
FK-0032,small_airport,Port Edgar Airport,FK-U-A,
FK-0033,small_airport,Port Howard Airstrip,FK-U-A,
FK-0034,small_airport,Sea Lion Island Airstrip,FK-U-A,
FK-0035,small_airport,Fox Bay East Airstrip,FK-U-A,
FK-0036,small_airport,Pebble Island Beach Airstrip,FK-U-A,
FKAB,small_airport,Banyo Airport,CM-AD,
FKAF,small_airport,Bafia Airport,CM-CE,
FKAG,small_airport,Abong M'bang Airport,CM-ES,
FKAN,small_airport,Nkongsamba Airport,CM-LT,NKS
FKAO,small_airport,BÃ©tarÃ© Oya Airport,CM-ES,
FKKB,small_airport,Kribi Airport,CM-SU,KBI
FKKC,medium_airport,Tiko Airport,CM-SW,TKC
FKKD,medium_airport,Douala International Airport,CM-LT,DLA
FKKE,small_airport,Eseka Airport,CM-CE,
FKKF,small_airport,Mamfe Airport,CM-SW,MMF
FKKG,small_airport,Bali Airport,CM-NW,BLC
FKKH,small_airport,KaÃ©lÃ© Airport,CM-EN,KLE
FKKI,small_airport,Batouri Airport,CM-ES,OUR
FKKJ,small_airport,Yagoua Airport,CM-EN,GXX
FKKL,medium_airport,Salak Airport,CM-EN,MVR
FKKM,medium_airport,Foumban Nkounja Airport,CM-OU,FOM
FKKN,medium_airport,N'GaoundÃ©rÃ© Airport,CM-AD,NGE
FKKO,small_airport,Bertoua Airport,CM-ES,BTA
FKKR,medium_airport,Garoua International Airport,CM-NO,GOU
FKKS,small_airport,Dschang Airport,CM-OU,DSC
FKKT,small_airport,Tibati Airport,CM-AD,
FKKU,medium_airport,Bafoussam Airport,CM-OU,BFX
FKKV,medium_airport,Bamenda Airport,CM-NW,BPC
FKKW,small_airport,Ebolowa Airport,CM-SU,EBW
FKKY,medium_airport,YaoundÃ© Airport,CM-CE,YAO
FKYS,medium_airport,YaoundÃ© Nsimalen International Airport,CM-CE,NSI
FL00,small_airport,Griffins Peace River Ranch Airport,US-FL,
FL01,small_airport,Crews Homestead Ranch Airport,US-FL,
FL02,small_airport,Fox Field,US-FL,
FL03,small_airport,Department of Corrections Field,US-FL,
FL07,small_airport,Wings N Sunsets LLC Airport,US-FL,
FL08,small_airport,Florida Sheriffs Boys Ranch Airport,US-FL,
FL09,small_airport,Kittyhawk Estates Airport,US-FL,
FL10,small_airport,Little River Airport,US-FL,
FL11,small_airport,Thrifts Airport,US-FL,
FL12,small_airport,Ingalls Field,US-FL,
FL13,small_airport,Spencer's Airpark,US-FL,
FL16,small_airport,Market World Airport,US-FL,
FL17,small_airport,Ruckel Airport,US-FL,
FL18,small_airport,Suwannee Farms Airport,US-FL,
FL19,small_airport,Crosswind Farm Airport,US-FL,
FL23,small_airport,Strazzulla Groves Airport,US-FL,
FL27,small_airport,Lake City Airpark,US-FL,
FL28,small_airport,State Prison Field,US-FL,
FL29,small_airport,Hales 700 Airport,US-FL,
FL31,small_airport,Mjd STOLport,US-FL,
FL33,small_airport,Watson Flight Strip,US-FL,
FL34,small_airport,Eglin Test Site B6 Airport,US-FL,
FL35,small_airport,Geraci Airpark,US-FL,
FL37,small_airport,Treasure Coast Airpark,US-FL,
FL40,small_airport,Graham Landing Strip - Moore Haven Airport,US-FL,
FL41,small_airport,Okeelanta Airport,US-FL,
FL43,small_airport,Burntwood Ranch Airport,US-FL,
FL47,small_airport,Ashley Field,US-FL,
FL48,small_airport,Sierra Airpark,US-FL,
FL50,small_airport,Rossi Field,US-FL,
FL52,small_airport,Angel's Field,US-FL,
FL54,small_airport,Flying Tiger Field,US-FL,
FL56,small_airport,Williams Hawgwild Airport,US-FL,
FL57,small_airport,Carter Airport,US-FL,
FL58,small_airport,Johary Airport,US-FL,
FL59,small_airport,Buckingham Field,US-FL,
FL60,small_airport,Reynolds Airpark,US-FL,
FL61,small_airport,Mc Ginley Airport,US-FL,
FL62,small_airport,Bradshaw Tree Farm Airport,US-FL,
FL66,small_airport,Peach Orchard Airport,US-FL,
FL67,small_airport,Evans Properties Inc Airport,US-FL,
FL74,small_airport,Indian River Aerodrome,US-FL,
FL75,small_airport,Indian Hammock Airport,US-FL,
FL76,small_airport,Seven Springs Ranch Airport,US-FL,
FL77,small_airport,Calusa Ranch Airport,US-FL,
FL78,small_airport,Lewis Airport,US-FL,
FL80,small_airport,Lee Farms Airport,US-FL,
FL81,small_airport,Triple B Airpark,US-FL,
FL82,small_airport,Oak Ridge Airport,US-FL,
FL84,small_airport,Flying-A-Ranch Airport,US-FL,
FL86,small_airport,Woodstock Airport,US-FL,
FL88,small_airport,Bob Paul Airport,US-FL,
FL90,small_airport,Salty Approach Airport,US-FL,
FL91,small_airport,Counter Terrorism Advanced Training Center Airport,US-FL,
FL95,small_airport,Broocke Air Patch Airport,US-FL,
FL97,small_airport,Tangerine Airport,US-FL,
FL99,small_airport,Flying-H Airport,US-FL,
FLAT,small_airport,Katete Airport,ZM-03,
FLBA,small_airport,Mbala Airport,ZM-05,MMQ
FLCC,small_airport,Chocha Airport,ZM-05,
FLCH,small_airport,Choma Airport,ZM-07,
FLCP,small_airport,Chipata Airport,ZM-03,CIP
FLCS,small_airport,Chinsali Airport,ZM-05,
FLCU,small_airport,Chunga Airport,ZM-02,
FLEA,small_airport,East One Airport,ZM-04,
FLEB,small_airport,East Two Airport,ZM-05,
FLEC,small_airport,East Three Airport,ZM-02,
FLED,small_airport,East Four Airport,ZM-09,
FLEE,small_airport,East Five Airport,ZM-05,
FLEF,small_airport,East Six Airport,ZM-05,
FLEG,small_airport,East Seven Airport,ZM-04,
FLEH,small_airport,East Eight Airport,ZM-04,
FLIK,small_airport,Isoka Airport,ZM-05,
FLJK,small_airport,Jeki Airport,ZM-09,JEK
FLKB,small_airport,Kawambwa Airport,ZM-04,
FLKE,medium_airport,Kasompe Airport,ZM-08,CGJ
FLKG,small_airport,Kalengwa Airport,ZM-06,
FLKJ,small_airport,Kanja Airport,ZM-01,
FLKL,small_airport,Kalabo Airport,ZM-01,KLB
FLKO,small_airport,Kaoma Airport,ZM-01,KMZ
FLKS,small_airport,Kasama Airport,ZM-05,KAA
FLKU,small_airport,Kanyau Airport,ZM-01,
FLKW,small_airport,Milliken Airport,ZM-02,
FLKY,small_airport,Kasaba Bay Airport,ZM-05,ZKB
FLKZ,small_airport,Lukuzi Airport,ZM-03,
FLLA,small_airport,Luanshya Zambia Airport,ZM-08,
FLLC,medium_airport,Lusaka City Airport,ZM-09,
FLLD,small_airport,Lundazi Airport,ZM-03,
FLLG,small_airport,Luwingu Airport,ZM-05,
FLLI,medium_airport,Harry Mwanga Nkumbula International Airport,ZM-07,LVI
FLLK,small_airport,Lukulu Airport,ZM-01,LXU
FLLO,small_airport,Kalomo Airport,ZM-07,
FLLS,large_airport,Kenneth Kaunda International Airport,ZM-09,LUN
FLMA,small_airport,Mansa Airport,ZM-04,MNS
FLMB,small_airport,Maamba Airport,ZM-07,
FLMF,medium_airport,Mfuwe Airport,ZM-03,MFU
FLMG,medium_airport,Mongu Airport,ZM-01,MNR
FLMK,small_airport,Mkushi Airport,ZM-02,
FLML,small_airport,Mufulira Airport,ZM-08,
FLMO,small_airport,Monze Airport,ZM-07,
FLMP,small_airport,Mpika Airport,ZM-05,
FLMU,small_airport,Mulobezi Airport,ZM-01,
FLMW,small_airport,Mwinilunga Airport,ZM-06,
FLMZ,small_airport,Mazabuka Airport,ZM-07,
FLNA,small_airport,Ngoma Airport,ZM-07,ZGM
FLND,medium_airport,Simon Mwansa Kapwepwe International Airport,ZM-08,NLA
FLNL,small_airport,Namwala Airport,ZM-07,
FLNY,small_airport,Nyimba Airport,ZM-03,
FLPA,small_airport,Kasempa Airport,ZM-06,
FLPE,small_airport,Petauke Airport,ZM-03,
FLPK,small_airport,Mporokoso Airport,ZM-05,
FLPO,small_airport,Kabompo Airport,ZM-06,
FLRO,small_airport,Rosa Airport,ZM-05,
FLRU,small_airport,Rufansa Airport,ZM-09,
FLRZ,small_airport,Royal Zambesi Lodge Airstrip,ZM-09,RYL
FLSE,small_airport,Serenje Airport,ZM-02,
FLSH,small_airport,Shiwa n'gandu Airport,ZM-05,
FLSJ,small_airport,Sakeji Airport,ZM-06,
FLSN,small_airport,Senanga Airport,ZM-01,SXG
FLSO,medium_airport,Southdowns Airport,ZM-08,KIW
FLSS,small_airport,Sesheke Airport,ZM-01,SJQ
FLSW,small_airport,Solwesi Airport,ZM-06,SLI
FLT,small_airport,Flat Airport,US-AK,FLT
FLWA,small_airport,West One Airport,ZM-08,
FLWB,small_airport,West Two Airport,ZM-08,
FLWC,small_airport,West Three Airport,ZM-06,
FLWD,small_airport,West Four Airport,ZM-06,
FLWE,small_airport,West Five Airport,ZM-01,
FLWF,small_airport,West Six Airport,ZM-06,
FLWG,small_airport,West Seven Airport,ZM-06,
FLWW,small_airport,Waka Waka Airport,ZM-03,
FLYA,small_airport,Samfya Airport,ZM-04,
FLZB,small_airport,Zambezi Airport,ZM-06,BBZ
FM-0001,small_airport,Woleai Atoll Airport,FM-YAP,
FM-ULI,small_airport,Ulithi Airport,FM-YAP,ULI
FM43,small_airport,Antsiranana Andrakaka Airport,MG-D,
FMBI,small_airport,Betainomby Airport,MG-A,
FMCH,medium_airport,Prince Said Ibrahim International Airport,KM-G,HAH
FMCI,medium_airport,MohÃ©li Bandar Es Eslam Airport,KM-M,NWA
FMCN,small_airport,Iconi Airport,KM-G,YVA
FMCV,medium_airport,Ouani Airport,KM-A,AJN
FMCZ,medium_airport,Dzaoudzi Pamandzi International Airport,YT-U-A,DZA
FMEE,medium_airport,Roland Garros Airport,RE-U-A,RUN
FMEP,medium_airport,Pierrefonds Airport,RE-U-A,ZSE
FMMA,small_airport,Antananarivo Arivonimamo Airport,MG-T,
FMMC,small_airport,Malaimbandy Airport,MG-U,WML
FMME,small_airport,Antsirabe Airport,MG-T,ATJ
FMMG,small_airport,Antsalova Airport,MG-M,WAQ
FMMH,small_airport,Mahanoro Airport,MG-A,VVB
FMMI,large_airport,Ivato Airport,MG-T,TNR
FMMJ,small_airport,Ambohijanahary Airport,MG-A,
FMMK,small_airport,Ankavandra Airport,MG-U,JVA
FMML,small_airport,Belo sur Tsiribihina Airport,MG-U,BMD
FMMN,medium_airport,Miandrivazo Airport,MG-U,ZVA
FMMO,small_airport,Maintirano Airport,MG-M,MXT
FMMP,small_airport,Amparafaravola Airport,MG-A,
FMMQ,small_airport,Atsinanana Airport,MG-A,ILK
FMMR,small_airport,Morafenobe Airport,MG-M,TVA
FMMS,medium_airport,Sainte Marie Airport,MG-A,SMS
FMMT,medium_airport,Toamasina Airport,MG-A,TMM
FMMU,small_airport,Tambohorano Airport,MG-M,WTA
FMMV,medium_airport,Morondava Airport,MG-U,MOQ
FMMX,small_airport,Tsiroanomandidy Airport,MG-T,WTS
FMMY,small_airport,Vatomandry Airport,MG-A,VAT
FMMZ,small_airport,Ambatondrazaka Airport,MG-A,WAM
FMNA,medium_airport,Arrachart Airport,MG-D,DIE
FMNB,small_airport,Ankaizina Airport,MG-M,WBE
FMNC,medium_airport,Mananara Nord Airport,MG-A,WMR
FMND,medium_airport,Andapa Airport,MG-D,ZWA
FMNE,small_airport,Ambilobe Airport,MG-D,AMB
FMNF,small_airport,Avaratra Airport,MG-M,WBD
FMNG,small_airport,Port BergÃ© Airport,MG-M,WPB
FMNH,medium_airport,Antsirabato Airport,MG-D,ANM
FMNJ,small_airport,Ambanja Airport,MG-D,
FMNL,medium_airport,Analalava Airport,MG-M,HVA
FMNM,medium_airport,Amborovy Airport,MG-M,MJN
FMNN,medium_airport,Fascene Airport,MG-D,NOS
FMNO,small_airport,Soalala Airport,MG-M,DWB
FMNP,small_airport,Mampikony Airport,MG-M,WMP
FMNQ,medium_airport,Besalampy Airport,MG-M,BPY
FMNR,medium_airport,Maroantsetra Airport,MG-A,WMN
FMNS,medium_airport,Sambava Airport,MG-D,SVB
FMNT,small_airport,Tsaratanana Airport,MG-M,TTS
FMNV,medium_airport,Vohimarina Airport,MG-D,VOH
FMNW,medium_airport,Ambalabe Airport,MG-M,WAI
FMNX,small_airport,Mandritsara Airport,MG-M,WMA
FMNZ,small_airport,Ampampamena Airport,MG-D,IVA
FMSA,small_airport,Ambalavao Airport,MG-F,
FMSB,small_airport,Antsoa Airport,MG-U,WBO
FMSC,small_airport,Mandabe Airport,MG-U,WMD
FMSD,medium_airport,TÃ´lanaro Airport,MG-U,FTU
FMSE,small_airport,Betroka Airport,MG-U,
FMSF,medium_airport,Fianarantsoa Airport,MG-F,WFI
FMSG,small_airport,Farafangana Airport,MG-F,RVA
FMSI,small_airport,Ihosy Airport,MG-F,IHO
FMSJ,small_airport,Manja Airport,MG-U,MJA
FMSK,medium_airport,Manakara Airport,MG-F,WVK
FMSL,small_airport,Bekily Airport,MG-U,OVA
FMSM,medium_airport,Mananjary Airport,MG-F,MNJ
FMSN,small_airport,Samangoky Airport,MG-U,TDV
FMSR,medium_airport,Morombe Airport,MG-U,MXM
FMST,medium_airport,Toliara Airport,MG-U,TLE
FMSU,small_airport,Vangaindrano Airport,MG-F,VND
FMSV,small_airport,Betioky Airport,MG-U,BKU
FMSY,small_airport,Ampanihy Airport,MG-U,AMP
FMSZ,small_airport,Ankazoabo Airport,MG-U,WAK
FMZJ,small_airport,Juan de Nova Airstrip,TF-U-A,
FN17,small_airport,Cahama Airport,AO-CNN,
FN18,small_airport,Matala Airport,AO-HUI,
FN19,small_airport,Cabo Ledo Airport,AO-BGO,
FNAM,small_airport,Ambriz Airport,AO-BGO,AZZ
FNBC,medium_airport,Mbanza Congo Airport,AO-ZAI,SSY
FNBG,medium_airport,Benguela Airport,AO-BGU,BUG
FNBL,small_airport,Lumbala Airport,AO-MOX,GGC
FNCA,medium_airport,Cabinda Airport,AO-CAB,CAB
FNCB,small_airport,Camembe Airport,AO-BGO,
FNCC,small_airport,Cacolo Airport,AO-LNO,
FNCF,small_airport,Cafunfo Airport,AO-LNO,CFF
FNCH,small_airport,Chitato Airport,AO-LNO,PGI
FNCM,small_airport,Camabatela Airport,AO-CNO,
FNCT,medium_airport,Catumbela Airport,AO-BGU,CBT
FNCV,small_airport,Cuito Cuanavale Airport,AO-CCU,CTI
FNCX,small_airport,Camaxilo Airport,AO-LNO,CXM
FNCZ,small_airport,Cazombo Airport,AO-MOX,CAV
FNDB,small_airport,Damba Airport,AO-UIG,
FNDU,medium_airport,Dundo Airport,AO-LNO,DUE
FNE,small_airport,Fane Airport,PG-CPM,FNE
FNGI,medium_airport,Ngjiva Pereira Airport,AO-CNN,VPE
FNHU,medium_airport,Nova Lisboa Airport,AO-HUA,NOV
FNKU,medium_airport,Kuito Airport,AO-BIE,SVP
FNLB,small_airport,Lobito Airport,AO-BGU,
FNLK,small_airport,Lucapa Airport,AO-LNO,LBZ
FNLU,large_airport,Quatro de Fevereiro Airport,AO-LUA,LAD
FNLZ,small_airport,Luzamba Airport,AO-LNO,LZM
FNMA,medium_airport,Malanje Airport,AO-MAL,MEG
FNME,medium_airport,Menongue Airport,AO-CCU,SPP
FNMO,medium_airport,Namibe Airport,AO-NAM,MSZ
FNMQ,small_airport,Maquela do Zombo Airport,AO-UIG,
FNNG,medium_airport,Negage Airport,AO-UIG,GXG
